Date,Tweet,Likes,hashtag,cleaned_tweet,Sentiment,Compound_Score
2025-03-15,"Hackers are poisoning PyPI again. Devs, check your dependencies NOW!

Cybercriminals planted 20 fake Python packages on PyPI—stealing cloud access tokens from AWS, Alibaba Cloud, and Tencent Cloud. These packages, disguised as ""time"" utilities, racked up 14,100+ downloads",226,technology,"hackers are poisoning pypi again devs check your dependencies now

cybercriminals planted  fake python packages on pypistealing cloud access tokens from aws alibaba cloud and tencent cloud these packages disguised as time utilities racked up  downloads",Negative,-0.8402
2025-03-15,"through sports,",759,sports,through sports,Neutral,0.0
2025-03-15,Head to Matchday Live for live coverage from around the grounds,695,sports,head to matchday live for live coverage from around the grounds,Neutral,0.0
2025-03-15,"With this domestic model, we are having a bigger pool, competition in regions will make club, college, District cricket more competitive

8 competitive events including Dept., Reg, Champ Cups are more responsible for players development than PSL franchises",214,sports,"with this domestic model we are having a bigger pool competition in regions will make club college district cricket more competitive

 competitive events including dept reg champ cups are more responsible for players development than psl franchises",Positive,0.8255
2025-03-15,Full-Time: An afternoon full of goals in the Premier League!,2133,sports,fulltime an afternoon full of goals in the premier league,Neutral,0.0
2025-03-15,Head to the Matchday Live blog for all of the build-up,544,sports,head to the matchday live blog for all of the buildup,Neutral,0.0
2025-03-15,Champions of all major cricket leagues,257,sports,champions of all major cricket leagues,Positive,0.5267
2025-03-15,"“ A broadcast show needs to talk about the game and not what I ate yesterday for lunch or my favourite chole bhature place in Delhi ” 

The fact that he reads everything and speaks only when he is asked to and when he does, it’s nothing but mic-drop.",812,sports,"a broadcast show needs to talk about the game and not what i ate yesterday for lunch or my favourite chole bhature place in delhi  

the fact that he reads everything and speaks only when he is asked to and when he does its nothing but micdrop",Neutral,0.0
2025-03-15,". It should be the main event. 

Yet all the focus on Sky will be on Celtic vs Rangers, Arsenal vs Chelsea and the cup final. The Steel City derby is on Sky Sports+",285,sports,"it should be the main event 

yet all the focus on sky will be on celtic vs rangers arsenal vs chelsea and the cup final the steel city derby is on sky sports",Neutral,0.0
2025-03-15,Today marks the golden jubilee day of one of the greatest moments in Indian sport: our first and only World Cup hockey gold. Salute to Ajit Pal Singh sir and his iconic team. It was the age of the transistor: will never forget Jasdev Singh’s brilliant commentary when the final,299,sports,today marks the golden jubilee day of one of the greatest moments in indian sport our first and only world cup hockey gold salute to ajit pal singh sir and his iconic team it was the age of the transistor will never forget jasdev singhs brilliant commentary when the final,Positive,0.8647
2025-03-15,"Virat Kohli said, ""I think sport in general every child should take up according to me Because what sport can teach you within moments a lot of the other situations would teach you in a longer span.""",1115,sports,virat kohli said i think sport in general every child should take up according to me because what sport can teach you within moments a lot of the other situations would teach you in a longer span,Neutral,0.0
2025-03-15,"Virat Kohli said, ""I think sport in general every child should take up according to me because what sport can teach you within moments -- a lot of the other situations would teach you in a longer span - because you have to adapt very quickly - you have to deal with",3780,sports,virat kohli said i think sport in general every child should take up according to me because what sport can teach you within moments  a lot of the other situations would teach you in a longer span  because you have to adapt very quickly  you have to deal with,Neutral,0.0
2025-03-15,"Virat Kohli said - ""Cricket being part of the Olympics is a great chance for us, Coming back with a Medal will be a great thing for the team"". (PTI).",994,sports,virat kohli said  cricket being part of the olympics is a great chance for us coming back with a medal will be a great thing for the team pti,Positive,0.9231
2025-03-15,"Honestly it’s soft that golfers need perfect silence to swing and concentrate 

MLB players hit 102 mph sliders while thousands of drunk fans scream and the stadium blasts music",234,sports,"honestly its soft that golfers need perfect silence to swing and concentrate 

mlb players hit  mph sliders while thousands of drunk fans scream and the stadium blasts music",Positive,0.3818
2025-03-15,Morning all. Who’s excited about rugby &amp; F1 this weekend?,896,sports,morning all whos excited about rugby amp f this weekend,Positive,0.34
2025-03-15,"Virat Kohli said ""Don't get nervous - I am not making any announcements. As of now everything is fine - I still love playing this game"".",8401,sports,virat kohli said dont get nervous  i am not making any announcements as of now everything is fine  i still love playing this game,Positive,0.8231
2025-03-15,Virat Kohli talking about Sports University for students,638,sports,virat kohli talking about sports university for students,Neutral,0.0
2025-03-15,It’s a bit of both but Europeans are loud all the time! They watch football matches on a weekly basis and they are always loud!,516,sports,its a bit of both but europeans are loud all the time they watch football matches on a weekly basis and they are always loud,Neutral,0.0
2025-03-15,"Chak De! India (2007) is a sports drama about women's hockey, starring Shah Rukh Khan.",254,sports,chak de india  is a sports drama about womens hockey starring shah rukh khan,Neutral,0.0
2025-03-15,Would you rather your club win the Champions League or your country win the World Cup?,643,sports,would you rather your club win the champions league or your country win the world cup,Positive,0.9001
2025-03-15,"is there a safe sport to root for? like low risk of heartbreak and apathy?

Car Racing? Golf?",381,sports,"is there a safe sport to root for like low risk of heartbreak and apathy

car racing golf",Negative,-0.5719
2025-03-15,"After watching Cricket for nearly 30 years, I try to answer this. 

New column. Tomorrow in HT Sunday edition.",237,sports,"after watching cricket for nearly  years i try to answer this 

new column tomorrow in ht sunday edition",Neutral,0.0
2025-03-15,"We can’t enjoy anything 

Score a goal? Can’t celebrate
Win a game? Can’t celebrate
Dodgy red card? Can’t complain
Rage bait headlines? Can’t complain

It will blow over one day, but it’s so exhausting",393,sports,"we cant enjoy anything 

score a goal cant celebrate
win a game cant celebrate
dodgy red card cant complain
rage bait headlines cant complain

it will blow over one day but its so exhausting",Negative,-0.7786
